Price,Year,Make,Model,Condition,Engine Cylinders,Odometer,Driven Wheels
30590,2016,toyota,tacoma double cab sr5,good,4,30176,fwd
11587,2013,ford,escape,good,4,215046,fwd
4000,2002,toyota,camry,like new,4,160000,fwd
2999,2007,ford,taurus,good,6,162029,fwd
10800,2013,toyota,camry,excellent,4,147000,fwd
0,2018,infiniti,q50,excellent,6,30362,fwd
5500,2008,nissan,altima,like new,4,150000,fwd
34500,2012,bmw,x6,good,8,53723,fwd
3200,1988,chevrolet,s10 pickup,good,4,191000,fwd
500,2021,other,SPECIAL FINANCE PROGRAM 2020,fair,4,1400,fwd
19990,2020,nissan,versa,good,4,6591,fwd
26990,2020,nissan,frontier,good,4,323,rwd
31988,2019,nissan,murano,good,4,15566,fwd
11977,2009,toyota,venza,good,4,76662,fwd
35990,2016,dodge,challenger r/t scat pack,good,4,18955,rwd
34990,2018,ram,1500 quad cab big horn,good,6,22064,4wd
38995,2012,ford,f-250 super duty,good,4,9205,4wd
10500,2013,volkswagen,passat tdi sel,excellent,4,91000,fwd
18250,2016,ford,explorer xlt,excellent,4,69000,fwd
19900,2017,ford,explorer xlt,excellent,4,71000,fwd
10500,2014,volkswagen,jetta tdi,excellent,4,52000,fwd
3500,1994,ford,f450,fair,8,190000,rwd
31990,2016,chevrolet,silverado 1500,good,8,107597,4wd
0,2016,jeep,wrangler unlimited,good,6,83203,4wd
6800,2005,other,blue bird bus,excellent,6,180000,rwd
5500,1999,other,blue bird bus,excellent,6,220000,rwd
36990,2018,toyota,4runner sr5 sport utility,good,6,21415,4wd
23590,2017,nissan,frontier king cab sv,good,4,37091,fwd
17990,2013,subaru,xv crosstrek premium,good,4,57371,fwd
30990,2017,nissan,frontier crew cab pro-4x,good,6,31095,4wd
21590,2017,buick,regal premium ii sedan 4d,good,4,14934,fwd
21990,2019,toyota,camry l sedan 4d,good,4,5607,fwd
16000,2016,dodge,charger,like new,6,62000,rwd
1500,2005,toyota,solara,good,4,222100,fwd
4500,2005,acura,mdx,good,6,279000,fwd
33995,2016,chevrolet,silverado 1500,good,4,115000,4wd
40000,2017,chevrolet,tahoe,like new,8,68000,rwd
39900,2015,lincoln,other,good,4,51,fwd
10500,2008,infiniti,ex35,good,6,122904,rwd
9500,2014,toyota,prius v hybrid,good,4,136128,fwd
12900,2014,nissan,rogue sv,good,4,120211,fwd
4275,2006,jeep,liberty,good,6,174132,4wd
3200,2006,chevrolet,trailblazer,good,6,178762,rwd
10000,2010,toyota,tundra,good,4,180000,fwd
11995,2007,chevrolet,tahoe,good,4,170865,4wd
3399,2006,buick,lacrosse,good,6,160218,fwd
17995,2017,ram,promaster 1500 cargo van,good,4,147064,fwd
3850,2010,volkswagen,jetta,good,4,178000,fwd
3900,2009,hyundai,elantra,good,4,162005,rwd
6000,2004,subaru,baja,excellent,4,64000,4wd
15897,2018,chevrolet,malibu,good,4,65950,fwd
0,2020,dodge,charger,excellent,8,8428,rwd
3300,1999,chrysler,300m,good,6,162026,fwd
26995,2015,ford,f-350,good,4,232000,4wd
0,2021,nissan,titan xd,excellent,8,2576,4wd
6950,2011,volkswagen,jetta,excellent,5,116000,fwd
29995,2013,chevrolet,silverado 2500hd,good,4,173000,4wd
22795,2015,mercedes-benz,c-class,good,4,67870,fwd
0,2014,other,Freightliner Cascadia,good,4,100,fwd
8995,2005,nissan,altima,excellent,6,53320,fwd
1250,1988,ford,bronco ii,fair,6,90000,4wd
1500,1988,other,1988,good,6,89000,4wd
48900,2018,chevrolet,silverado 2500 hd ltz,like new,8,43034,4wd
9988,2014,kia,sorento lx,good,4,121259,fwd
24888,2019,ford,f150 regular cab xl,excellent,6,8176,rwd
28490,2020,nissan,murano,good,4,6154,fwd
31968,2020,infiniti,q50,good,4,27441,fwd
21334,2021,toyota,corolla,good,4,7277,fwd
16888,2008,toyota,fj cruiser 4x4,good,6,188096,4wd
19888,2015,mercedes-benz,benz ml 450,excellent,6,111261,4wd
31888,2015,gmc,1500 yukon slt,good,8,109947,rwd
500,2021,other,SPECIAL FINANCE PROGRAM 2020,fair,4,1400,fwd
10997,2010,ford,explorer sport trac,good,4,137906,4wd
29800,2019,chevrolet,silverado 1500,good,8,39000,4wd
1350,1999,other,plymouth voyager,fair,6,200000,fwd
50990,2017,mercedes-benz,s-class,good,8,68643,fwd
9500,1968,pontiac,firebird,good,4,175000,fwd
1300,1969,mercedes-benz,benz,good,4,12774,fwd
22500,1929,ford,other,good,4,9999999,fwd
3999,2003,infiniti,g35 sedan,good,6,233830,rwd
5900,2011,ford,fiesta se,good,4,109000,fwd
2800,2002,pontiac,grand am gt 1,good,6,128783,fwd
28995,2017,chevrolet,silverado 2500hd,good,4,102000,rwd
34950,2016,nissan,titan xd cummins platinum,good,4,158159,4wd
